SubjNo,gender,Location,Exp,YOT,MOT,DOT,YOB,MOB,DOB,Age.Months,Age.yrs,Age,Eng. Mono,langs,WordType,List,question.number,Order,trial type,LabelType,TriadType,regularity,animacy,Correct,UnrelatedChoice,Direction,Sequence ,Exclude,Comments,
H061915-LJ,F,MUS,JF,2015,6,19,2010,7,2,60,4.963242009,4,Yes,0,Polysemous,1B,5,2,critical,Same Label,Glass,irregular,inanimate,No,0,L,1,No,,
H061915-LJ,F,MUS,JF,2015,6,19,2010,7,2,60,4.963242009,4,Yes,0,Polysemous,1B,9,3,critical,Different Label,Horse,regular,animate,No,0,R,2,No,,
H061915-LJ,F,MUS,JF,2015,6,19,2010,7,2,60,4.963242009,4,Yes,0,Polysemous,1B,2,4,critical,Same Label,Chicken,regular,animate,Yes,1,R,2,No,,
H061915-LJ,F,MUS,JF,2015,6,19,2010,7,2,60,4.963242009,4,Yes,0,Polysemous,1B,6,5,critical,Different Label,Glass,irregular,inanimate,No,0,R,2,No,,
H061915-LJ,F,MUS,JF,2015,6,19,2010,7,2,60,4.963242009,4,Yes,0,Polysemous,1B,10,6,critical,Same Label,Horse,regular,animate,Yes,1,R,2,No,,
H061915-LJ,F,MUS,JF,2015,6,19,2010,7,2,60,4.963242009,4,Yes,0,Polysemous,1B,3,7,critical,Different Label,Chicken,regular,animate,No,0,R,2,No,"experimenter said ""do they buy it on the farm"" rather than ""do they find it on the farm""",
H061915-LJ,F,MUS,JF,2015,6,19,2010,7,2,60,4.963242009,4,Yes,0,Polysemous,1B,7,8,critical,Same Label,Glass,irregular,inanimate,No,0,L,1,No,,
H061915-LJ,F,MUS,JF,2015,6,19,2010,7,2,60,4.963242009,4,Yes,0,Polysemous,1B,11,9,critical,Different Label,Horse,regular,animate,No,0,R,2,No,,
H061915-LJ,F,MUS,JF,2015,6,19,2010,7,2,60,4.963242009,4,Yes,0,Polysemous,1B,4,10,critical,Same Label,Chicken,regular,animate,No,0,L,1,No,,
H061915-LJ,F,MUS,JF,2015,6,19,2010,7,2,60,4.963242009,4,Yes,0,Polysemous,1B,8,11,critical,Different Label,Glass,irregular,inanimate,No,0,R,2,No,,
H061915-LJ,F,MUS,JF,2015,6,19,2010,7,2,60,4.963242009,4,Yes,0,Polysemous,1B,12,12,critical,Same Label,Horse,regular,animate,Yes,1,R,2,No,,
H061915-IL,M,MUS,JF,2015,6,19,2011,3,29,51,4.22260274,4,No,"Eng, Chinese",Polysemous,1B,A,,training,Same Label,,,,Yes,0,R,2,No,,
H061915-IL,M,MUS,JF,2015,6,19,2011,3,29,51,4.22260274,4,No,"Eng, Chinese",Polysemous,1B,B,,training,Different Label,,,,Yes,0,R,2,No,,
H061915-IL,M,MUS,JF,2015,6,19,2011,3,29,51,4.22260274,4,No,"Eng, Chinese",Polysemous,1B,1,1,critical,Different Label,Chicken,regular,animate,Yes,1,L,1,No,,
H061915-IL,M,MUS,JF,2015,6,19,2011,3,29,51,4.22260274,4,No,"Eng, Chinese",Polysemous,1B,5,2,critical,Same Label,Glass,irregular,inanimate,Yes,1,R,2,No,,
H061915-IL,M,MUS,JF,2015,6,19,2011,3,29,51,4.22260274,4,No,"Eng, Chinese",Polysemous,1B,9,3,critical,Different Label,Horse,regular,animate,No,0,R,2,No,,
H061915-IL,M,MUS,JF,2015,6,19,2011,3,29,51,4.22260274,4,No,"Eng, Chinese",Polysemous,1B,2,4,critical,Same Label,Chicken,regular,animate,Yes,1,R,2,No,,
H061915-IL,M,MUS,JF,2015,6,19,2011,3,29,51,4.22260274,4,No,"Eng, Chinese",Polysemous,1B,6,5,critical,Different Label,Glass,irregular,inanimate,No,0,R,2,No,,
H061915-IL,M,MUS,JF,2015,6,19,2011,3,29,51,4.22260274,4,No,"Eng, Chinese",Polysemous,1B,10,6,critical,Same Label,Horse,regular,animate,No,0,L,1,No,,
H061915-IL,M,MUS,JF,2015,6,19,2011,3,29,51,4.22260274,4,No,"Eng, Chinese",Polysemous,1B,3,7,critical,Different Label,Chicken,regular,animate,Yes,1,L,1,No,,
H061915-IL,M,MUS,JF,2015,6,19,2011,3,29,51,4.22260274,4,No,"Eng, Chinese",Polysemous,1B,7,8,critical,Same Label,Glass,irregular,inanimate,No,0,L,1,No,,
H061915-IL,M,MUS,JF,2015,6,19,2011,3,29,51,4.22260274,4,No,"Eng, Chinese",Polysemous,1B,11,9,critical,Different Label,Horse,regular,animate,Yes,1,L,1,No,,
H061915-IL,M,MUS,JF,2015,6,19,2011,3,29,51,4.22260274,4,No,"Eng, Chinese",Polysemous,1B,4,10,critical,Same Label,Chicken,regular,animate,No,0,L,1,No,,
H061915-IL,M,MUS,JF,2015,6,19,2011,3,29,51,4.22260274,4,No,"Eng, Chinese",Polysemous,1B,8,11,critical,Different Label,Glass,irregular,inanimate,Yes,1,L,1,No,,
H061915-IL,M,MUS,JF,2015,6,19,2011,3,29,51,4.22260274,4,No,"Eng, Chinese",Polysemous,1B,12,12,critical,Same Label,Horse,regular,animate,Yes,1,R,2,No,,
H061915-GH,M,MUS,JF,2015,6,19,2011,4,15,50,4.177625571,4,No,"Eng, Mandarin",Polysemous,1A Backwards,A,,training,Same Label,,,,No,1,L,1,No,"insisted squirrels eat acorns, but chose an answer with some prompting",
H061915-GH,M,MUS,JF,2015,6,19,2011,4,15,50,4.177625571,4,No,"Eng, Mandarin",Polysemous,1A Backwards,B,,training,Different Label,,,,No,1,L,1,No,,
H061915-GH,M,MUS,JF,2015,6,19,2011,4,15,50,4.177625571,4,No,"Eng, Mandarin",Polysemous,1A Backwards,12,1,critical,Different Label,Horse,regular,animate,Yes,1,L,1,No,,
H061915-GH,M,MUS,JF,2015,6,19,2011,4,15,50,4.177625571,4,No,"Eng, Mandarin",Polysemous,1A Backwards,8,2,critical,Same Label,Glass,irregular,inanimate,Yes,1,R,2,No,,
H061915-GH,M,MUS,JF,2015,6,19,2011,4,15,50,4.177625571,4,No,"Eng, Mandarin",Polysemous,1A Backwards,4,3,critical,Different Label,Chicken,regular,animate,No,0,R,2,No,,
H061915-GH,M,MUS,JF,2015,6,19,2011,4,15,50,4.177625571,4,No,"Eng, Mandarin",Polysemous,1A Backwards,11,4,critical,Same Label,Horse,regular,animate,Yes,1,R,2,No,,
H061915-GH,M,MUS,JF,2015,6,19,2011,4,15,50,4.177625571,4,No,"Eng, Mandarin",Polysemous,1A Backwards,7,5,critical,Different Label,Glass,irregular,inanimate,No,0,R,2,No,,
H061915-GH,M,MUS,JF,2015,6,19,2011,4,15,50,4.177625571,4,No,"Eng, Mandarin",Polysemous,1A Backwards,3,6,critical,Same Label,Chicken,regular,animate,Yes,1,R,2,No,,
H061915-GH,M,MUS,JF,2015,6,19,2011,4,15,50,4.177625571,4,No,"Eng, Mandarin",Polysemous,1A Backwards,10,7,critical,Different Label,Horse,regular,animate,Yes,1,L,1,No,,
H061915-GH,M,MUS,JF,2015,6,19,2011,4,15,50,4.177625571,4,No,"Eng, Mandarin",Polysemous,1A Backwards,6,8,critical,Same Label,Glass,irregular,inanimate,Yes,1,R,2,No,,
H061915-GH,M,MUS,JF,2015,6,19,2011,4,15,50,4.177625571,4,No,"Eng, Mandarin",Polysemous,1A Backwards,2,9,critical,Different Label,Chicken,regular,animate,Yes,1,L,1,No,,
H061915-GH,M,MUS,JF,2015,6,19,2011,4,15,50,4.177625571,4,No,"Eng, Mandarin",Polysemous,1A Backwards,9,10,critical,Same Label,Horse,regular,animate,Yes,1,R,1,No,,
H061915-GH,M,MUS,JF,2015,6,19,2011,4,15,50,4.177625571,4,No,"Eng, Mandarin",Polysemous,1A Backwards,5,11,critical,Different Label,Glass,irregular,inanimate,Yes,1,L,1,No,,
H061915-GH,M,MUS,JF,2015,6,19,2011,4,15,50,4.177625571,4,No,"Eng, Mandarin",Polysemous,1A Backwards,1,12,critical,Same Label,Chicken,regular,animate,Yes,1,R,2,No,,
H062515-JL,M,MUS,JF,2015,6,25,2012,5,3,38,3.143607306,3,No,"Eng, Spanish",Polysemous,1A Backwards,A,,training,Same Label,,,,No,1,L,1,No,"some hesitation before answering, required some prompting; said bunnies eat carrots",
H062515-JL,M,MUS,JF,2015,6,25,2012,5,3,38,3.143607306,3,No,"Eng, Spanish",Polysemous,1A Backwards,B,,training,Different Label,,,,Yes,0,R,2,No,,
H062515-JL,M,MUS,JF,2015,6,25,2012,5,3,38,3.143607306,3,No,"Eng, Spanish",Polysemous,1A Backwards,12,1,critical,Different Label,Horse,regular,animate,No,0,R,2,No,,
H062515-JL,M,MUS,JF,2015,6,25,2012,5,3,38,3.143607306,3,No,"Eng, Spanish",Polysemous,1A Backwards,8,2,critical,Same Label,Glass,irregular,inanimate,Yes,1,R,2,No,,
H062515-JL,M,MUS,JF,2015,6,25,2012,5,3,38,3.143607306,3,No,"Eng, Spanish",Polysemous,1A Backwards,4,3,critical,Different Label,Chicken,regular,animate,No,0,R,2,No,,
H062515-JL,M,MUS,JF,2015,6,25,2012,5,3,38,3.143607306,3,No,"Eng, Spanish",Polysemous,1A Backwards,11,4,critical,Same Label,Horse,regular,animate,Yes,1,R,2,No,,
H062515-JL,M,MUS,JF,2015,6,25,2012,5,3,38,3.143607306,3,No,"Eng, Spanish",Polysemous,1A Backwards,7,5,critical,Different Label,Glass,irregular,inanimate,Yes,1,L,1,No,,
H062515-JL,M,MUS,JF,2015,6,25,2012,5,3,38,3.143607306,3,No,"Eng, Spanish",Polysemous,1A Backwards,3,6,critical,Same Label,Chicken,regular,animate,Yes,1,R,2,No,,
H062515-JL,M,MUS,JF,2015,6,25,2012,5,3,38,3.143607306,3,No,"Eng, Spanish",Polysemous,1A Backwards,10,7,critical,Different Label,Horse,regular,animate,No,0,R,2,No,,
H062515-JL,M,MUS,JF,2015,6,25,2012,5,3,38,3.143607306,3,No,"Eng, Spanish",Polysemous,1A Backwards,6,8,critical,Same Label,Glass,irregular,inanimate,Yes,1,R,2,No,,
