SubjNo,Gender,Age,List,ItemNo,TriadType,Order,WordType,LabelType,Correct,UnrelatedChoice,Comments
8,F,24,1B,12,Horse,12,Polysemous,Same,Y,1,
9,F,20,1B,1,Chicken,1,Unambiguous,Different,Y,0,seemed unsure
9,F,20,1B,2,Chicken,4,Unambiguous,Same,N,1,seemed unsure
9,F,20,1B,3,Chicken,7,Unambiguous,Different,N,1,seemed unsure
9,F,20,1B,4,Chicken,10,Unambiguous,Same,N,1,seemed unsure
9,F,20,1B,5,Glass,2,Unambiguous,Same,N,1,seemed unsure
9,F,20,1B,6,Glass,5,Unambiguous,Different,N,1,seemed unsure
9,F,20,1B,7,Glass,8,Unambiguous,Same,Y,0,seemed unsure
9,F,20,1B,8,Glass,11,Unambiguous,Different,N,1,seemed unsure
9,F,20,1B,9,Horse,3,Unambiguous,Different,N,1,seemed unsure
9,F,20,1B,10,Horse,6,Unambiguous,Same,N,1,seemed unsure
9,F,20,1B,11,Horse,9,Unambiguous,Different,Y,0,seemed unsure
9,F,20,1B,12,Horse,12,Unambiguous,Same,N,1,seemed unsure
10,F,21,1B,1,Chicken,1,Unambiguous,Different,Y,0,Home Language- Mandarin
10,F,21,1B,2,Chicken,4,Unambiguous,Same,Y,0,Home Language- Mandarin
10,F,21,1B,3,Chicken,7,Unambiguous,Different,Y,0,Home Language- Mandarin
10,F,21,1B,4,Chicken,10,Unambiguous,Same,Y,0,Home Language- Mandarin
10,F,21,1B,5,Glass,2,Unambiguous,Same,Y,0,Home Language- Mandarin
10,F,21,1B,6,Glass,5,Unambiguous,Different,N,1,Home Language- Mandarin
10,F,21,1B,7,Glass,8,Unambiguous,Same,Y,0,Home Language- Mandarin
10,F,21,1B,8,Glass,11,Unambiguous,Different,Y,0,Home Language- Mandarin
10,F,21,1B,9,Horse,3,Unambiguous,Different,N,1,Home Language- Mandarin
10,F,21,1B,10,Horse,6,Unambiguous,Same,Y,0,Home Language- Mandarin
10,F,21,1B,11,Horse,9,Unambiguous,Different,Y,0,Home Language- Mandarin
10,F,21,1B,12,Horse,12,Unambiguous,Same,Y,0,Home Language- Mandarin
11,M,21,1A Backwards,1,Chicken,12,Polysemous,Same,Y,1,
11,M,21,1A Backwards,2,Chicken,9,Polysemous,Different,Y,1,
11,M,21,1A Backwards,3,Chicken,6,Polysemous,Same,Y,1,
11,M,21,1A Backwards,4,Chicken,3,Polysemous,Different,N,0,
11,M,21,1A Backwards,5,Glass,11,Polysemous,Different,Y,1,
11,M,21,1A Backwards,6,Glass,8,Polysemous,Same,Y,1,
11,M,21,1A Backwards,7,Glass,5,Polysemous,Different,Y,1,
11,M,21,1A Backwards,8,Glass,2,Polysemous,Same,Y,1,
11,M,21,1A Backwards,9,Horse,10,Polysemous,Same,Y,1,
11,M,21,1A Backwards,10,Horse,7,Polysemous,Different,Y,1,
11,M,21,1A Backwards,11,Horse,4,Polysemous,Same,Y,1,
11,M,21,1A Backwards,12,Horse,1,Polysemous,Different,Y,1,
12,F,21,1A Backwards,1,Chicken,12,Unambiguous,Same,Y,0,MSc Education Student
12,F,21,1A Backwards,2,Chicken,9,Unambiguous,Different,Y,0,MSc Education Student
12,F,21,1A Backwards,3,Chicken,6,Unambiguous,Same,Y,0,MSc Education Student
12,F,21,1A Backwards,4,Chicken,3,Unambiguous,Different,Y,0,MSc Education Student
12,F,21,1A Backwards,5,Glass,11,Unambiguous,Different,Y,0,MSc Education Student
12,F,21,1A Backwards,6,Glass,8,Unambiguous,Same,Y,0,MSc Education Student
12,F,21,1A Backwards,7,Glass,5,Unambiguous,Different,Y,0,MSc Education Student
12,F,21,1A Backwards,8,Glass,2,Unambiguous,Same,Y,0,MSc Education Student
12,F,21,1A Backwards,9,Horse,10,Unambiguous,Same,Y,0,MSc Education Student
12,F,21,1A Backwards,10,Horse,7,Unambiguous,Different,Y,0,MSc Education Student
12,F,21,1A Backwards,11,Horse,4,Unambiguous,Same,Y,0,MSc Education Student
12,F,21,1A Backwards,12,Horse,1,Unambiguous,Different,Y,0,MSc Education Student
13,F,23,1A Backwards,1,Chicken,12,Polysemous,Same,Y,1,Singaporean
13,F,23,1A Backwards,2,Chicken,9,Polysemous,Different,Y,1,
